cell_type,segment,percent_immune
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.13945297010944643
T.CD8.naive,Stroma,0.11528586763359133
T.CD8.memory,Stroma,0.0419876397198391
NK,Stroma,0.015410731706008086
pDCs,Stroma,0.015684589521276143
mDCs,Stroma,0.017386575507259038
monocytes.C,Stroma,0.005547935819448179
monocytes.NC.I,Stroma,0.011550660750302885
neutrophils,Stroma,0.025748527891847183
Treg,Stroma,0.06489823342052406
endothelial.cells,Stroma,0.047308239829200224
fibroblasts,Stroma,0.04636105964510112
macrophages,Stroma,0.3589438025811297
mast,Stroma,0.001220991082725764
B.naive,Stroma,0.031576344740117744
B.memory,Stroma,0.0
plasma,Stroma,0.014346918369852371
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.03549762929397854
T.CD8.naive,Stroma,0.04960287044702787
T.CD8.memory,Stroma,0.14083611670988697
NK,Stroma,0.04088615903393066
pDCs,Stroma,0.007209811018756072
mDCs,Stroma,0.007376226492969062
monocytes.C,Stroma,0.0
monocytes.NC.I,Stroma,0.011795475519743422
neutrophils,Stroma,0.10554023578692173
Treg,Stroma,0.0
endothelial.cells,Stroma,0.06384981401535965
fibroblasts,Stroma,0.13131760490760047
macrophages,Tumor,0.10366224446553235
mast,Tumor,0.0008716796196649488
B.naive,Tumor,0.002788632757741625
B.memory,Tumor,0.0
plasma,Tumor,0.01662405927256466
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.3179648279061822
T.CD8.memory,Tumor,0.031929986213318176
NK,Tumor,0.06296759979668587
pDCs,Tumor,0.010679783972225075
mDCs,Tumor,0.0
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.2943578231153601
Treg,Tumor,0.0
endothelial.cells,Tumor,0.08524940427917387
fibroblasts,Tumor,0.07290395860155116
macrophages,Stroma,0.419662100479101
mast,Stroma,0.00038915363370432116
B.naive,Stroma,0.007998864773179768
B.memory,Stroma,0.0
plasma,Stroma,0.0
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.07134546244685981
T.CD8.naive,Stroma,0.0
